embedding_dimension,PC1_n8,PC2_n8,PC3_n8,PC4_n8,PC5_n8,PC6_n8,PC7_n8,PC8_n8
W2V_111,-0.043870118867155874,0.05324146840157843,-0.06974279203563533,-0.0719673604701544,0.02116606717547586,0.008010718466993572,-0.006322379883973561,0.10135790508570158
W2V_112,-0.01814811691500334,0.014776434570228064,0.11557266744832846,-0.008651184640689242,0.17574470361646516,0.004966001101459593,-0.0043003668616858,0.04766652129939833
W2V_113,0.10686684063201916,0.08322314187556615,0.011677437196396348,0.000997008117308147,0.029684355391108915,-0.049920953775716856,-0.05308548835031807,-0.05148492496984756
W2V_114,0.006963815727542109,-0.014915934851745657,0.07152005032997438,0.03735387812486911,-0.03503821696009947,0.011347076370896797,0.01111248288518616,0.03954660237566394
W2V_115,-0.012199281367932024,-0.00456239541377852,-0.0028842135084726837,0.11149951555937272,0.10664730110486721,0.0016323180043779765,0.035011456011396824,0.054843553007168
W2V_116,-0.032218491884209235,-0.08302444222007802,-0.09086686769140973,0.03493901790706941,0.026780207457413215,0.02399446451571582,0.00461458590264966,-0.01752363995034978
W2V_117,-0.03355526059106979,-0.020335627631427534,0.025062556911373775,-0.08342736173466384,-0.03038334719406323,-0.05140961755871269,0.039129550078786254,0.043134018506642016
W2V_118,-0.042598152895373595,0.022239557699131482,-0.10625434866942789,0.018278389228912097,-0.008102922997046092,-0.04310123395157574,-0.0726513538191411,-0.015770907957888096
W2V_119,-0.15721243871167861,-0.02143097704303707,0.041377497780064616,0.015140578281096575,0.07139942945897922,0.1412092574282012,0.009459096320293615,-0.08293234835334877
W2V_120,-0.0412735950450572,0.032926230604212264,0.02996846140363451,-0.02485258093566936,-0.012691780047564131,-0.08656483768045398,0.01642808299195162,-0.06896593479797843
W2V_121,-0.009704816903430688,-0.00031666790867024346,-0.05611162228217925,-0.0466209373875606,0.06625363253036036,0.08884672129076808,0.08039487333116672,-0.03791308235549255
W2V_122,-0.045638943126610036,0.006519714397834006,0.05607944146907642,-0.03659307228049008,-0.07493426013595703,-0.0296453466399794,0.0008072197652568855,-0.015393676565005246
W2V_123,-0.008007814864800344,0.009754308139669371,-0.0159055071135884,0.053882852843367024,0.1006081425963433,0.06915158537051654,-0.012128009161071715,0.06840914608684025
W2V_124,-0.07236376854970343,-0.07435873779674185,-0.04974157348299684,0.0035188106595953356,-0.015474832585454786,0.06078742219669197,-0.034802991040693364,0.06808262992918887
W2V_125,0.06435832384606797,-0.020897636951847338,-0.11130872169905132,-0.04449298371151403,0.006790158846309114,0.0962597021522258,-0.02757230317324839,-0.007619293097090873
W2V_126,0.02816549491403841,-0.0028427824057950662,-0.012193523801236065,0.0193479104858203,0.08522334413185488,0.05486357552507651,0.015835317029733034,-0.026453569860239497
W2V_127,-0.03182041828589333,0.019908033388328798,-0.006658085815866244,-0.03172125910418934,-0.034716840449169575,0.0019123863407241907,0.030726788197389235,0.008403022840061657
W2V_128,0.05957826788060338,-0.03675079930251761,0.01988897416624896,0.12063815803993107,0.027245321815989165,-0.0017564492813682052,0.01173384615124452,0.04503994836638132
W2V_129,0.06178821246352164,0.017150127019045832,-0.03912426943336845,-0.004089830264707876,-0.07091479006548784,0.010644184356787913,0.036056038554908916,-0.07482630444598397
W2V_130,0.033332429800329015,-0.0869666414637479,-0.046929204000997815,0.00316996508163311,0.0813166904738111,0.07263836073071898,-0.05288250201671255,0.021664051646178194
W2V_131,-0.09374927125000844,-0.06579335001166321,-0.1220611240154168,-0.03726283360670854,0.05408980862173105,-0.07981530271154803,-0.02629860970629389,-0.07711985147546108
W2V_132,0.0929971479106133,0.038706557012440024,-0.09704124966720681,0.05120630790727215,0.03583889664972626,-0.045665805331368464,0.014317353546326773,-0.05005749463963964
