factor,feature,comparison,tent_lag_s,n_narratives,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F3_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,3.0,10,0.011191702375897823,0.007481270267421887,-0.030617483489093614,0.06319617005380931
F3_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,4.5,10,-0.004544905213560485,-0.011745294457225131,-0.08831894751447993,0.04856053369884721
F3_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,6.0,10,-0.00879550389723947,-0.025014173298107813,-0.11926444270690909,0.09075021106457931
F3_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,7.5,10,-0.013228489428981634,-0.03184190751443844,-0.10375046757440927,0.07531615107733736
F3_n8,spectral_bandwidth_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.004927592501112309,-0.01063151236829046,-0.07837852037896557,0.09665518843997582
F3_n8,spectral_bandwidth_hz,collapsed_factor_vs_raw_feature,,10,0.011975946088187967,0.009815106971251361,-0.14209514966958275,0.1418718616618051
F3_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,1.5,10,0.013608324595112617,0.00490468617869593,-0.029687920189984993,0.08415714320583273
F3_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,3.0,10,-0.001349927947303878,0.004002492319826105,-0.057865514697574054,0.026169545134603893
F3_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,4.5,10,0.006847393819560145,0.0067576938417797305,-0.09273827931918799,0.10952775311341734
F3_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,6.0,10,0.012390081202900381,0.01033954582097265,-0.1245045457159516,0.13697626211890535
F3_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,7.5,10,0.006890730579141091,0.016531389959052383,-0.08692051104225927,0.12074661376855751
F3_n8,spectral_centroid_hz,collapsed_factor_vs_matching_FIR_feature,,10,-0.009895151855289299,-0.05757572633863123,-0.1367294295276037,0.09714464349777117
F3_n8,spectral_centroid_hz,collapsed_factor_vs_raw_feature,,10,-0.01611865326642255,-0.029976736814575355,-0.15551548555329295,0.14654355638018476
F3_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,1.5,10,0.001465335172592818,0.004397715661163253,-0.03966561630330124,0.04707851001014436
F3_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,3.0,10,-0.025892042580281566,-0.02955012312320655,-0.0931140684323899,0.036514290854013795
F3_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,4.5,10,-0.011975813556817328,-0.028907120083615095,-0.10755846825272646,0.11076555821544302
F3_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,6.0,10,-0.0036616216147512862,-0.014701037038932212,-0.14231036989145598,0.14445746847165786
F3_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,7.5,10,0.0017603970147988077,0.00039734275594764743,-0.08866084202390888,0.12607552510976103
F3_n8,spectral_flatness,collapsed_factor_vs_matching_FIR_feature,,10,-0.00948453177488767,-0.013274579398069305,-0.06430748719735804,0.07702215103255759
F3_n8,spectral_flatness,collapsed_factor_vs_raw_feature,,10,0.005974828253952466,0.011432787097833122,-0.14976478390343229,0.14654680160052788
F3_n8,spectral_flatness,individual_TENT_column_vs_raw_feature,1.5,10,0.008225891318793274,0.009648203909857734,-0.029678964920836808,0.07458055760051259
